Time,Source,Risk,Status
2026-07-20 08:12:37,Detection,70,HIGH
2026-07-20 08:12:37,Detection,70,HIGH
2026-07-20 08:12:37,Detection,70,HIGH
2026-07-20 08:12:37,Detection,70,HIGH
2026-07-20 08:12:36,Detection,70,HIGH
2026-07-20 08:12:36,Detection,70,HIGH
2026-07-20 08:12:36,Detection,70,HIGH
2026-07-20 08:12:36,Detection,70,HIGH
2026-07-20 08:12:36,Detection,70,HIGH
2026-07-20 08:12:36,Detection,70,HIGH
2026-07-20 08:12:35,Detection,70,HIGH
2026-07-20 08:12:35,Detection,70,HIGH
2026-07-20 08:12:35,Detection,70,HIGH
2026-07-20 08:12:35,Detection,70,HIGH
2026-07-20 08:12:35,Detection,70,HIGH
2026-07-20 08:12:35,Detection,70,HIGH
2026-07-20 08:12:34,Detection,70,HIGH
2026-07-20 08:12:34,Detection,70,HIGH
2026-07-20 08:12:34,Detection,70,HIGH
2026-07-20 08:12:34,Detection,70,HIGH
2026-07-20 08:12:34,Detection,70,HIGH
2026-07-20 08:12:34,Detection,70,HIGH
2026-07-20 08:12:34,Detection,70,HIGH
2026-07-20 08:12:33,Detection,70,HIGH
2026-07-20 08:12:33,Detection,70,HIGH
2026-07-20 08:12:33,Detection,70,HIGH
2026-07-20 08:12:33,Detection,70,HIGH
2026-07-20 08:12:33,Detection,70,HIGH
2026-07-20 08:12:33,Detection,70,HIGH
2026-07-20 08:12:33,Detection,70,HIGH
2026-07-20 08:12:32,Detection,70,HIGH
2026-07-20 08:12:32,Detection,70,HIGH
2026-07-20 08:12:32,Detection,70,HIGH
2026-07-20 08:12:32,Detection,70,HIGH
2026-07-20 08:12:32,Detection,70,HIGH
2026-07-20 08:12:32,Detection,70,HIGH
2026-07-20 08:12:32,Detection,70,HIGH
2026-07-20 08:12:32,Detection,70,HIGH
2026-07-20 08:12:31,Detection,70,HIGH
2026-07-20 08:12:31,Detection,70,HIGH
2026-07-20 08:12:31,Detection,70,HIGH
2026-07-20 08:12:31,Detection,70,HIGH
2026-07-20 08:12:31,Detection,70,HIGH
2026-07-20 08:12:31,Detection,70,HIGH
2026-07-20 08:12:31,Detection,70,HIGH
2026-07-20 08:12:30,Detection,70,HIGH
2026-07-20 08:12:30,Detection,70,HIGH
2026-07-20 08:12:30,Detection,70,HIGH
2026-07-20 08:12:30,Detection,70,HIGH
2026-07-20 08:12:30,Detection,70,HIGH
2026-07-20 08:12:30,Detection,70,HIGH
2026-07-20 08:12:29,Detection,70,HIGH
2026-07-20 08:12:29,Detection,70,HIGH
2026-07-20 08:12:29,Detection,70,HIGH
2026-07-20 08:12:29,Detection,70,HIGH
2026-07-20 08:12:29,Detection,70,HIGH
2026-07-20 08:12:29,Detection,70,HIGH
2026-07-20 08:12:29,Detection,70,HIGH
2026-07-20 08:12:29,Detection,70,HIGH
2026-07-20 08:12:28,Detection,70,HIGH
2026-07-20 08:12:28,Detection,70,HIGH
2026-07-20 08:12:28,Detection,70,HIGH
2026-07-20 08:12:28,Detection,70,HIGH
2026-07-20 08:12:28,Detection,70,HIGH
2026-07-20 08:12:28,Detection,70,HIGH
2026-07-20 08:12:27,Detection,70,HIGH
2026-07-20 08:12:27,Detection,70,HIGH
2026-07-20 08:12:27,Detection,70,HIGH
2026-07-20 08:12:27,Detection,70,HIGH
2026-07-20 08:12:27,Detection,70,HIGH
2026-07-20 08:12:27,Detection,70,HIGH
2026-07-20 08:12:27,Detection,70,HIGH
2026-07-20 08:12:26,Detection,70,HIGH
2026-07-20 08:12:26,Detection,70,HIGH
2026-07-20 08:12:26,Detection,70,HIGH
2026-07-20 08:12:26,Detection,70,HIGH
2026-07-20 08:12:26,Detection,70,HIGH
2026-07-20 08:12:26,Detection,70,HIGH
2026-07-20 08:12:26,Detection,70,HIGH
2026-07-20 08:12:25,Detection,70,HIGH
2026-07-20 08:12:25,Detection,70,HIGH
2026-07-20 08:12:25,Detection,70,HIGH
2026-07-20 08:12:25,Detection,70,HIGH
2026-07-20 08:12:25,Detection,70,HIGH
2026-07-20 08:12:25,Detection,70,HIGH
2026-07-20 08:12:25,Detection,70,HIGH
2026-07-20 08:12:25,Detection,70,HIGH
2026-07-20 08:12:24,Detection,70,HIGH
2026-07-20 08:12:24,Detection,70,HIGH
2026-07-20 08:12:24,Detection,70,HIGH
2026-07-20 08:12:24,Detection,70,HIGH
2026-07-20 08:12:24,Detection,70,HIGH
2026-07-20 08:12:24,Detection,70,HIGH
2026-07-20 08:12:24,Detection,70,HIGH
2026-07-20 08:12:23,Detection,70,HIGH
2026-07-20 08:12:23,Detection,70,HIGH
2026-07-20 08:12:23,Detection,70,HIGH
2026-07-20 08:12:23,Detection,70,HIGH
2026-07-20 08:12:23,Detection,70,HIGH
2026-07-20 08:12:23,Detection,70,HIGH
2026-07-20 08:12:23,Detection,70,HIGH
2026-07-20 08:12:22,Detection,70,HIGH
2026-07-20 08:12:22,Detection,70,HIGH
2026-07-20 08:12:22,Detection,70,HIGH
2026-07-20 08:12:22,Detection,70,HIGH
2026-07-20 08:12:22,Detection,70,HIGH
2026-07-20 08:12:22,Detection,70,HIGH
2026-07-20 08:12:22,Detection,70,HIGH
2026-07-20 08:12:21,Detection,70,HIGH
